"","series","method","timestamp","origin_timestamp","actual","forecast","Lo80","Hi80","Lo95","Hi95"
"1","O1","ARIMA",1,96,3060.42,NA,NA,NA,NA,NA
"2","O1","ARIMA",2,96,3021.19,NA,NA,NA,NA,NA
"3","O1","ARIMA",3,96,3301.13,NA,NA,NA,NA,NA
"4","O1","ARIMA",4,96,3287.03,NA,NA,NA,NA,NA
"5","O1","ARIMA",5,96,3080.71,NA,NA,NA,NA,NA
"6","O1","ARIMA",6,96,3160.68,NA,NA,NA,NA,NA
"7","O1","ARIMA",7,96,3077.17,NA,NA,NA,NA,NA
"8","O1","ARIMA",8,96,3023.04,NA,NA,NA,NA,NA
"9","O1","ARIMA",9,96,2976.01,NA,NA,NA,NA,NA
"10","O1","ARIMA",10,96,3199.55,NA,NA,NA,NA,NA
"11","O1","ARIMA",11,96,3219.28,NA,NA,NA,NA,NA
"12","O1","ARIMA",12,96,3266.87,NA,NA,NA,NA,NA
"13","O1","ARIMA",13,96,3228.6,NA,NA,NA,NA,NA
"14","O1","ARIMA",14,96,3108.45,NA,NA,NA,NA,NA
"15","O1","ARIMA",15,96,3052.15,NA,NA,NA,NA,NA
"16","O1","ARIMA",16,96,3081.1,NA,NA,NA,NA,NA
"17","O1","ARIMA",17,96,3072.48,NA,NA,NA,NA,NA
"18","O1","ARIMA",18,96,2989.99,NA,NA,NA,NA,NA
"19","O1","ARIMA",19,96,2983.53,NA,NA,NA,NA,NA
"20","O1","ARIMA",20,96,2978.99,NA,NA,NA,NA,NA
"21","O1","ARIMA",21,96,3075.09,NA,NA,NA,NA,NA
"22","O1","ARIMA",22,96,3259.02,NA,NA,NA,NA,NA
"23","O1","ARIMA",23,96,3252.64,NA,NA,NA,NA,NA
"24","O1","ARIMA",24,96,3197.5,NA,NA,NA,NA,NA
"25","O1","ARIMA",25,96,3095.91,NA,NA,NA,NA,NA
"26","O1","ARIMA",26,96,3213.78,NA,NA,NA,NA,NA
"27","O1","ARIMA",27,96,3174.21,NA,NA,NA,NA,NA
"28","O1","ARIMA",28,96,3196.42,NA,NA,NA,NA,NA
"29","O1","ARIMA",29,96,3752.91,NA,NA,NA,NA,NA
"30","O1","ARIMA",30,96,4238.37,NA,NA,NA,NA,NA
"31","O1","ARIMA",31,96,4140.09,NA,NA,NA,NA,NA
"32","O1","ARIMA",32,96,3959.7,NA,NA,NA,NA,NA
"33","O1","ARIMA",33,96,3892.21,NA,NA,NA,NA,NA
"34","O1","ARIMA",34,96,3892.16,NA,NA,NA,NA,NA
"35","O1","ARIMA",35,96,3757.58,NA,NA,NA,NA,NA
"36","O1","ARIMA",36,96,3738.49,NA,NA,NA,NA,NA
"37","O1","ARIMA",37,96,3626.78,NA,NA,NA,NA,NA
"38","O1","ARIMA",38,96,3658.79,NA,NA,NA,NA,NA
"39","O1","ARIMA",39,96,3723.11,NA,NA,NA,NA,NA
"40","O1","ARIMA",40,96,3710.43,NA,NA,NA,NA,NA
"41","O1","ARIMA",41,96,3640.67,NA,NA,NA,NA,NA
"42","O1","ARIMA",42,96,3676.83,NA,NA,NA,NA,NA
"43","O1","ARIMA",43,96,3642.97,NA,NA,NA,NA,NA
"44","O1","ARIMA",44,96,3676.8,NA,NA,NA,NA,NA
"45","O1","ARIMA",45,96,3635.68,NA,NA,NA,NA,NA
"46","O1","ARIMA",46,96,3687.71,NA,NA,NA,NA,NA
"47","O1","ARIMA",47,96,3649.13,NA,NA,NA,NA,NA
"48","O1","ARIMA",48,96,3857.15,NA,NA,NA,NA,NA
"49","O1","ARIMA",49,96,3930.03,NA,NA,NA,NA,NA
"50","O1","ARIMA",50,96,3737.96,NA,NA,NA,NA,NA
